state_from,state_to,state_fips_from,state_fips_to,year,count
Alabama,California,01,06,1970,42400
Alabama,Nevada,01,32,1970,200
Alabama,Oregon,01,41,1970,1000
Alabama,Washington,01,53,1970,2300
Alabama,Idaho,01,16,1970,100
Alabama,Utah,01,49,1970,0
Alabama,Arizona,01,04,1970,900
Alabama,Montana,01,30,1970,0
Alabama,Wyoming,01,56,1970,500
Alabama,Colorado,01,08,1970,1800
Alabama,New Mexico,01,35,1970,300
Alabama,North Dakota,01,38,1970,100
Alabama,South Dakota,01,46,1970,500
Alabama,Nebraska,01,31,1970,700
Alabama,Kansas,01,20,1970,1100
Alabama,Minnesota,01,27,1970,1300
Alabama,Iowa,01,19,1970,500
Alabama,Missouri,01,29,1970,7300
Alabama,Wisconsin,01,55,1970,4100
Alabama,Illinois,01,17,1970,48100
Alabama,Michigan,01,26,1970,78900
Alabama,Indiana,01,18,1970,17300
Alabama,Ohio,01,39,1970,97800
Alabama,Pennslyvania,01,42,1970,17500
Alabama,New York,01,36,1970,54700
Alabama,New Jersey,01,34,1970,17600
Alabama,Vermont,01,50,1970,0
Alabama,New Hampshire,01,33,1970,100
Alabama,Massachusetts,01,25,1970,5500
Alabama,Connecticut,01,09,1970,5300
Alabama,Rhode Island,01,44,1970,500
Alabama,Maine,01,23,1970,200
Arkansas,California,05,06,1970,68000
Arkansas,Nevada,05,32,1970,1100
Arkansas,Oregon,05,41,1970,1400
Arkansas,Washington,05,53,1970,2100
Arkansas,Idaho,05,16,1970,0
Arkansas,Utah,05,49,1970,200
Arkansas,Arizona,05,04,1970,2700
Arkansas,Montana,05,30,1970,0
Arkansas,Wyoming,05,56,1970,0
Arkansas,Colorado,05,08,1970,3300
Arkansas,New Mexico,05,35,1970,100
Arkansas,North Dakota,05,38,1970,0
Arkansas,South Dakota,05,46,1970,0
Arkansas,Nebraska,05,31,1970,2700
Arkansas,Kansas,05,20,1970,7500
Arkansas,Minnesota,05,27,1970,900
Arkansas,Iowa,05,19,1970,1000
Arkansas,Missouri,05,29,1970,34800
Arkansas,Wisconsin,05,55,1970,8900
Arkansas,Illinois,05,17,1970,58200
Arkansas,Michigan,05,26,1970,34500
Arkansas,Indiana,05,18,1970,11200
Arkansas,Ohio,05,39,1970,11700
Arkansas,Pennslyvania,05,42,1970,1900
Arkansas,New York,05,36,1970,5600
Arkansas,New Jersey,05,34,1970,500
Arkansas,Vermont,05,50,1970,0
Arkansas,New Hampshire,05,33,1970,0
Arkansas,Massachusetts,05,25,1970,500
Arkansas,Connecticut,05,09,1970,300
Arkansas,Rhode Island,05,44,1970,100
Arkansas,Maine,05,23,1970,0
Delaware,California,10,06,1970,600
Delaware,Nevada,10,32,1970,0
Delaware,Oregon,10,41,1970,0
Delaware,Washington,10,53,1970,0
Delaware,Idaho,10,16,1970,0
Delaware,Utah,10,49,1970,0
Delaware,Arizona,10,04,1970,0
Delaware,Montana,10,30,1970,0
Delaware,Wyoming,10,56,1970,0
Delaware,Colorado,10,08,1970,0
Delaware,New Mexico,10,35,1970,0
Delaware,North Dakota,10,38,1970,0
Delaware,South Dakota,10,46,1970,0
Delaware,Nebraska,10,31,1970,0
Delaware,Kansas,10,20,1970,0
Delaware,Minnesota,10,27,1970,0
Delaware,Iowa,10,19,1970,0
Delaware,Missouri,10,29,1970,0
Delaware,Wisconsin,10,55,1970,0
Delaware,Illinois,10,17,1970,300
Delaware,Michigan,10,26,1970,300
Delaware,Indiana,10,18,1970,0
Delaware,Ohio,10,39,1970,100
Delaware,Pennslyvania,10,42,1970,2500
Delaware,New York,10,36,1970,700
Delaware,New Jersey,10,34,1970,1000
Delaware,Vermont,10,50,1970,0
Delaware,New Hampshire,10,33,1970,0
Delaware,Massachusetts,10,25,1970,500
Delaware,Connecticut,10,09,1970,300
Delaware,Rhode Island,10,44,1970,0
Delaware,Maine,10,23,1970,0
District of Columbia,California,11,06,1970,3800
District of Columbia,Nevada,11,32,1970,0
District of Columbia,Oregon,11,41,1970,100
District of Columbia,Washington,11,53,1970,500
District of Columbia,Idaho,11,16,1970,0
District of Columbia,Utah,11,49,1970,0
District of Columbia,Arizona,11,04,1970,200
District of Columbia,Montana,11,30,1970,0
District of Columbia,Wyoming,11,56,1970,0
District of Columbia,Colorado,11,08,1970,300
District of Columbia,New Mexico,11,35,1970,100
District of Columbia,North Dakota,11,38,1970,0
District of Columbia,South Dakota,11,46,1970,0
District of Columbia,Nebraska,11,31,1970,0
District of Columbia,Kansas,11,20,1970,100
District of Columbia,Minnesota,11,27,1970,0
District of Columbia,Iowa,11,19,1970,0
District of Columbia,Missouri,11,29,1970,0
District of Columbia,Wisconsin,11,55,1970,100
District of Columbia,Illinois,11,17,1970,500
District of Columbia,Michigan,11,26,1970,700
District of Columbia,Indiana,11,18,1970,200
District of Columbia,Ohio,11,39,1970,1000
District of Columbia,Pennslyvania,11,42,1970,2500
District of Columbia,New York,11,36,1970,5000
District of Columbia,New Jersey,11,34,1970,2500
District of Columbia,Vermont,11,50,1970,0
District of Columbia,New Hampshire,11,33,1970,0
District of Columbia,Massachusetts,11,25,1970,700
District of Columbia,Connecticut,11,09,1970,1200
District of Columbia,Rhode Island,11,44,1970,100
District of Columbia,Maine,11,23,1970,0
Florida,California,12,06,1970,10800
Florida,Nevada,12,32,1970,0
Florida,Oregon,12,41,1970,100
Florida,Washington,12,53,1970,900
Florida,Idaho,12,16,1970,0
Florida,Utah,12,49,1970,200
Florida,Arizona,12,04,1970,200
Florida,Montana,12,30,1970,0
Florida,Wyoming,12,56,1970,100
Florida,Colorado,12,08,1970,1500
Florida,New Mexico,12,35,1970,200
Florida,North Dakota,12,38,1970,100
Florida,South Dakota,12,46,1970,100
Florida,Nebraska,12,31,1970,200
Florida,Kansas,12,20,1970,300
Florida,Minnesota,12,27,1970,200
Florida,Iowa,12,19,1970,100
Florida,Missouri,12,29,1970,1400
Florida,Wisconsin,12,55,1970,300
Florida,Illinois,12,17,1970,5200
Florida,Michigan,12,26,1970,6000
Florida,Indiana,12,18,1970,1300
Florida,Ohio,12,39,1970,6600
Florida,Pennslyvania,12,42,1970,10700
Florida,New York,12,36,1970,33900
Florida,New Jersey,12,34,1970,14300
Florida,Vermont,12,50,1970,0
Florida,New Hampshire,12,33,1970,0
Florida,Massachusetts,12,25,1970,4000
Florida,Connecticut,12,09,1970,4500
Florida,Rhode Island,12,44,1970,200
Florida,Maine,12,23,1970,0
Georgia,California,13,06,1970,20600
Georgia,Nevada,13,32,1970,300
Georgia,Oregon,13,41,1970,400
Georgia,Washington,13,53,1970,1700
Georgia,Idaho,13,16,1970,0
Georgia,Utah,13,49,1970,600
Georgia,Arizona,13,04,1970,800
Georgia,Montana,13,30,1970,0
Georgia,Wyoming,13,56,1970,200
Georgia,Colorado,13,08,1970,1800
Georgia,New Mexico,13,35,1970,600
Georgia,North Dakota,13,38,1970,100
Georgia,South Dakota,13,46,1970,0
Georgia,Nebraska,13,31,1970,300
Georgia,Kansas,13,20,1970,1600
Georgia,Minnesota,13,27,1970,500
Georgia,Iowa,13,19,1970,200
Georgia,Missouri,13,29,1970,2500
Georgia,Wisconsin,13,55,1970,1700
Georgia,Illinois,13,17,1970,23700
Georgia,Michigan,13,26,1970,50800
Georgia,Indiana,13,18,1970,5500
Georgia,Ohio,13,39,1970,56200
Georgia,Pennslyvania,13,42,1970,41900
Georgia,New York,13,36,1970,72300
Georgia,New Jersey,13,34,1970,41100
Georgia,Vermont,13,50,1970,0
Georgia,New Hampshire,13,33,1970,0
Georgia,Massachusetts,13,25,1970,7400
Georgia,Connecticut,13,09,1970,7000
Georgia,Rhode Island,13,44,1970,500
Georgia,Maine,13,23,1970,200
Kentucky,California,21,06,1970,5500
Kentucky,Nevada,21,32,1970,0
Kentucky,Oregon,21,41,1970,0
Kentucky,Washington,21,53,1970,200
Kentucky,Idaho,21,16,1970,0
Kentucky,Utah,21,49,1970,200
Kentucky,Arizona,21,04,1970,200
Kentucky,Montana,21,30,1970,0
Kentucky,Wyoming,21,56,1970,0
Kentucky,Colorado,21,08,1970,800
Kentucky,New Mexico,21,35,1970,0
Kentucky,North Dakota,21,38,1970,0
Kentucky,South Dakota,21,46,1970,0
Kentucky,Nebraska,21,31,1970,300
Kentucky,Kansas,21,20,1970,600
Kentucky,Minnesota,21,27,1970,200
Kentucky,Iowa,21,19,1970,0
Kentucky,Missouri,21,29,1970,2300
Kentucky,Wisconsin,21,55,1970,600
Kentucky,Illinois,21,17,1970,9600
Kentucky,Michigan,21,26,1970,12800
Kentucky,Indiana,21,18,1970,17500
Kentucky,Ohio,21,39,1970,23400
Kentucky,Pennslyvania,21,42,1970,1700
Kentucky,New York,21,36,1970,3800
Kentucky,New Jersey,21,34,1970,1700
Kentucky,Vermont,21,50,1970,0
Kentucky,New Hampshire,21,33,1970,100
Kentucky,Massachusetts,21,25,1970,200
Kentucky,Connecticut,21,09,1970,200
Kentucky,Rhode Island,21,44,1970,100
Kentucky,Maine,21,23,1970,0
Louisiana,California,22,06,1970,132800
Louisiana,Nevada,22,32,1970,3600
Louisiana,Oregon,22,41,1970,1300
Louisiana,Washington,22,53,1970,5300
Louisiana,Idaho,22,16,1970,0
Louisiana,Utah,22,49,1970,200
Louisiana,Arizona,22,04,1970,2200
Louisiana,Montana,22,30,1970,0
Louisiana,Wyoming,22,56,1970,400
Louisiana,Colorado,22,08,1970,3500
Louisiana,New Mexico,22,35,1970,600
Louisiana,North Dakota,22,38,1970,100
Louisiana,South Dakota,22,46,1970,100
Louisiana,Nebraska,22,31,1970,1100
Louisiana,Kansas,22,20,1970,2900
Louisiana,Minnesota,22,27,1970,700
Louisiana,Iowa,22,19,1970,400
Louisiana,Missouri,22,29,1970,7900
Louisiana,Wisconsin,22,55,1970,2500
Louisiana,Illinois,22,17,1970,26100
Louisiana,Michigan,22,26,1970,20500
Louisiana,Indiana,22,18,1970,4100
Louisiana,Ohio,22,39,1970,5400
Louisiana,Pennslyvania,22,42,1970,3000
Louisiana,New York,22,36,1970,7900
Louisiana,New Jersey,22,34,1970,2100
Louisiana,Vermont,22,50,1970,0
Louisiana,New Hampshire,22,33,1970,0
Louisiana,Massachusetts,22,25,1970,700
Louisiana,Connecticut,22,09,1970,400
Louisiana,Rhode Island,22,44,1970,400
Louisiana,Maine,22,23,1970,0
Maryland,California,24,06,1970,3200
Maryland,Nevada,24,32,1970,0
Maryland,Oregon,24,41,1970,100
Maryland,Washington,24,53,1970,400
Maryland,Idaho,24,16,1970,0
Maryland,Utah,24,49,1970,100
Maryland,Arizona,24,04,1970,600
Maryland,Montana,24,30,1970,200
