state_from,state_to,state_fips_from,state_fips_to,year,count
Alabama,California,01,06,1900,101
Alabama,Nevada,01,32,1900,0
Alabama,Oregon,01,41,1900,0
Alabama,Washington,01,53,1900,0
Alabama,Idaho,01,16,1900,0
Alabama,Utah,01,49,1900,0
Alabama,Arizona,01,04,1900,0
Alabama,Montana,01,30,1900,0
Alabama,Wyoming,01,56,1900,101
Alabama,Colorado,01,08,1900,905
Alabama,New Mexico,01,35,1900,101
Alabama,North Dakota,01,38,1900,0
Alabama,South Dakota,01,46,1900,0
Alabama,Nebraska,01,31,1900,100
Alabama,Kansas,01,20,1900,605
Alabama,Minnesota,01,27,1900,0
Alabama,Iowa,01,19,1900,702
Alabama,Missouri,01,29,1900,1303
Alabama,Wisconsin,01,55,1900,0
Alabama,Illinois,01,17,1900,3220
Alabama,Michigan,01,26,1900,0
Alabama,Indiana,01,18,1900,401
Alabama,Ohio,01,39,1900,500
Alabama,Pennslyvania,01,42,1900,601
Alabama,New York,01,36,1900,302
Alabama,New Jersey,01,34,1900,100
Alabama,Vermont,01,50,1900,0
Alabama,New Hampshire,01,33,1900,0
Alabama,Massachusetts,01,25,1900,0
Alabama,Connecticut,01,09,1900,0
Alabama,Rhode Island,01,44,1900,0
Alabama,Maine,01,23,1900,0
Arkansas,California,05,06,1900,100
Arkansas,Nevada,05,32,1900,0
Arkansas,Oregon,05,41,1900,0
Arkansas,Washington,05,53,1900,0
Arkansas,Idaho,05,16,1900,0
Arkansas,Utah,05,49,1900,0
Arkansas,Arizona,05,04,1900,100
Arkansas,Montana,05,30,1900,0
Arkansas,Wyoming,05,56,1900,0
Arkansas,Colorado,05,08,1900,200
Arkansas,New Mexico,05,35,1900,0
Arkansas,North Dakota,05,38,1900,0
Arkansas,South Dakota,05,46,1900,0
Arkansas,Nebraska,05,31,1900,0
Arkansas,Kansas,05,20,1900,502
Arkansas,Minnesota,05,27,1900,0
Arkansas,Iowa,05,19,1900,100
Arkansas,Missouri,05,29,1900,1706
Arkansas,Wisconsin,05,55,1900,0
Arkansas,Illinois,05,17,1900,1006
Arkansas,Michigan,05,26,1900,0
Arkansas,Indiana,05,18,1900,500
Arkansas,Ohio,05,39,1900,0
Arkansas,Pennslyvania,05,42,1900,0
Arkansas,New York,05,36,1900,0
Arkansas,New Jersey,05,34,1900,0
Arkansas,Vermont,05,50,1900,0
Arkansas,New Hampshire,05,33,1900,0
Arkansas,Massachusetts,05,25,1900,100
Arkansas,Connecticut,05,09,1900,0
Arkansas,Rhode Island,05,44,1900,0
Arkansas,Maine,05,23,1900,0
Delaware,California,10,06,1900,0
Delaware,Nevada,10,32,1900,0
Delaware,Oregon,10,41,1900,0
Delaware,Washington,10,53,1900,0
Delaware,Idaho,10,16,1900,0
Delaware,Utah,10,49,1900,0
Delaware,Arizona,10,04,1900,0
Delaware,Montana,10,30,1900,0
Delaware,Wyoming,10,56,1900,0
Delaware,Colorado,10,08,1900,0
Delaware,New Mexico,10,35,1900,0
Delaware,North Dakota,10,38,1900,0
Delaware,South Dakota,10,46,1900,0
Delaware,Nebraska,10,31,1900,0
Delaware,Kansas,10,20,1900,0
Delaware,Minnesota,10,27,1900,100
Delaware,Iowa,10,19,1900,0
Delaware,Missouri,10,29,1900,0
Delaware,Wisconsin,10,55,1900,0
Delaware,Illinois,10,17,1900,0
Delaware,Michigan,10,26,1900,101
Delaware,Indiana,10,18,1900,0
Delaware,Ohio,10,39,1900,0
Delaware,Pennslyvania,10,42,1900,4816
Delaware,New York,10,36,1900,402
Delaware,New Jersey,10,34,1900,2807
Delaware,Vermont,10,50,1900,0
Delaware,New Hampshire,10,33,1900,0
Delaware,Massachusetts,10,25,1900,101
Delaware,Connecticut,10,09,1900,0
Delaware,Rhode Island,10,44,1900,0
Delaware,Maine,10,23,1900,0
District of Columbia,California,11,06,1900,0
District of Columbia,Nevada,11,32,1900,0
District of Columbia,Oregon,11,41,1900,0
District of Columbia,Washington,11,53,1900,0
District of Columbia,Idaho,11,16,1900,0
District of Columbia,Utah,11,49,1900,0
District of Columbia,Arizona,11,04,1900,0
District of Columbia,Montana,11,30,1900,0
District of Columbia,Wyoming,11,56,1900,0
District of Columbia,Colorado,11,08,1900,0
District of Columbia,New Mexico,11,35,1900,0
District of Columbia,North Dakota,11,38,1900,100
District of Columbia,South Dakota,11,46,1900,0
District of Columbia,Nebraska,11,31,1900,0
District of Columbia,Kansas,11,20,1900,201
District of Columbia,Minnesota,11,27,1900,0
District of Columbia,Iowa,11,19,1900,0
District of Columbia,Missouri,11,29,1900,0
District of Columbia,Wisconsin,11,55,1900,0
District of Columbia,Illinois,11,17,1900,200
District of Columbia,Michigan,11,26,1900,0
District of Columbia,Indiana,11,18,1900,0
District of Columbia,Ohio,11,39,1900,0
District of Columbia,Pennslyvania,11,42,1900,1710
District of Columbia,New York,11,36,1900,1905
District of Columbia,New Jersey,11,34,1900,1003
District of Columbia,Vermont,11,50,1900,0
District of Columbia,New Hampshire,11,33,1900,0
District of Columbia,Massachusetts,11,25,1900,402
District of Columbia,Connecticut,11,09,1900,0
District of Columbia,Rhode Island,11,44,1900,300
District of Columbia,Maine,11,23,1900,100
Florida,California,12,06,1900,0
Florida,Nevada,12,32,1900,0
Florida,Oregon,12,41,1900,0
Florida,Washington,12,53,1900,0
Florida,Idaho,12,16,1900,0
Florida,Utah,12,49,1900,0
Florida,Arizona,12,04,1900,0
Florida,Montana,12,30,1900,0
Florida,Wyoming,12,56,1900,0
Florida,Colorado,12,08,1900,100
Florida,New Mexico,12,35,1900,201
Florida,North Dakota,12,38,1900,0
Florida,South Dakota,12,46,1900,0
Florida,Nebraska,12,31,1900,0
Florida,Kansas,12,20,1900,0
Florida,Minnesota,12,27,1900,0
Florida,Iowa,12,19,1900,0
Florida,Missouri,12,29,1900,100
Florida,Wisconsin,12,55,1900,0
Florida,Illinois,12,17,1900,201
Florida,Michigan,12,26,1900,0
Florida,Indiana,12,18,1900,0
Florida,Ohio,12,39,1900,401
Florida,Pennslyvania,12,42,1900,100
Florida,New York,12,36,1900,1003
Florida,New Jersey,12,34,1900,201
Florida,Vermont,12,50,1900,0
Florida,New Hampshire,12,33,1900,0
Florida,Massachusetts,12,25,1900,300
Florida,Connecticut,12,09,1900,0
Florida,Rhode Island,12,44,1900,0
Florida,Maine,12,23,1900,0
Georgia,California,13,06,1900,100
Georgia,Nevada,13,32,1900,100
Georgia,Oregon,13,41,1900,0
Georgia,Washington,13,53,1900,0
Georgia,Idaho,13,16,1900,0
Georgia,Utah,13,49,1900,100
Georgia,Arizona,13,04,1900,100
Georgia,Montana,13,30,1900,0
Georgia,Wyoming,13,56,1900,0
Georgia,Colorado,13,08,1900,200
Georgia,New Mexico,13,35,1900,201
Georgia,North Dakota,13,38,1900,0
Georgia,South Dakota,13,46,1900,0
Georgia,Nebraska,13,31,1900,0
Georgia,Kansas,13,20,1900,503
Georgia,Minnesota,13,27,1900,100
Georgia,Iowa,13,19,1900,200
Georgia,Missouri,13,29,1900,401
Georgia,Wisconsin,13,55,1900,0
Georgia,Illinois,13,17,1900,1402
Georgia,Michigan,13,26,1900,202
Georgia,Indiana,13,18,1900,200
Georgia,Ohio,13,39,1900,1502
Georgia,Pennslyvania,13,42,1900,702
